# TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xinit,starts the graphical server.
,xorg-xrandr,sets up screens
,xorg-xrdb,sets color scheme
,xorg-xsetroot,sets the statusbar
,xcompmgr,is for transparency and removing screen-tearing.
,nvidia,is the graphics driver
,nvidia-libgl,is more graphics drivers
,mesa,is more graphics drivers
,pulseaudio,is the audio system (>inb4 bloat).
,pulseaudio-alsa,is an audio interface with ALSA.
,pulseaudio-bluetooth,Bluetooth support
,pulsemixer,is an intuitive ncurses audio controller.
,bluez,is for bluethooth
,bluez-utils,is also for bluetooth
,zsh,ZSH shell
,zsh-syntax-highlighting,Syntax Hightlighting for zsh
,vifm,is an extensive terminal file manager that everyone likes.
,tree,lists directory contents like trees. Used by vifm.
,networkmanager,does exactly what it sounds like.
A,nordvpn-bin,vpn service
,wireguard-tools,is for vpn
,wireguard-arch,is for vpn
,transmission-cli,is for torrents
A,transmission-remote-cli-git,is terminal interface for transmission
A,brave-bin,is a web browser
,sxhkd,binds key.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,unclutter,hides an inactive mouse.
,xwallpaper,sets the wallpaper.
A,gotop,is for better looking system diagnostics
,sysstat,gets system statistics for status bar
,neovim,a tidier vim with some useful features
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,is the part of zathura that actually reads pdfs
,sxiv,is a minimalist image viewer.
,mpv,is a video player
,fzf,is a fuzzy finder tool.
,gnome-keyring,serves as the system keyring.
